"Country","justice","civil liberties","rights"
"Poland",0.705175162880889,0.611987254483338,0.727119841261823
"Austria",0.821791368579531,0.799012120433477,0.705349288675841
"Hungary",0.711300680613317,0.595267478932972,0.628538237489388
"Czechia",0.853871877317578,0.792513504044073,0.791694416679187
"Slovakia",0.768367816140776,0.742283717884843,0.631760365219228
"Italy",0.880781958372622,0.810599384722133,0.798667399794418
"Albania",0.801259791309625,0.66236694597652,0.587110159939229
"North Macedonia",0.528645279465523,0.636150201576389,0.541655117368252
"Croatia",0.71991412251552,0.642513040572102,0.58093434365947
"Serbia",0.649117466680381,0.567952124009794,0.552212524148712
"Bosnia and Herzegovina",0.561800117453323,0.573730210752376,0.484293774706513
"Kosovo",0.486019309040577,0.630871961474744,0.428463439439646
"Slovenia",0.880447620701235,0.742608518799676,0.732661158449241
"Greece",0.879435470140991,0.764808526008649,0.778944986297613
"Cyprus",0.858742165450905,0.747424790667068,0.61962777708122
"Bulgaria",0.6710332841947,0.644456127776764,0.673337458384309
"Moldova",0.690112183156064,0.633227518360555,0.496043705364012
"Romania",0.66701095952239,0.671530143179279,0.582159624644828
"Russia",0.443599394214618,0.387942566635404,0.525433214195403
"Estonia",0.877639649131316,0.842972010403396,0.764146192450829
"Latvia",0.791879948943956,0.830169857782217,0.787069354604801
"Lithuania",0.785009217959312,0.715513873120947,0.773301522457876
"Ukraine",0.543675281448181,0.517374883237604,0.578614983141997
"Belarus",0.58649778496763,0.409160003852439,0.720537670416347
"Armenia",0.703997953966326,0.719307970461383,0.612576142901347
"Georgia",0.606543195578721,0.708720516724626,0.653554043689639
"Azerbaijan",0.414125255765415,0.363794710950652,0.386587906851099
"Finland",0.902760862622389,0.809392047726449,0.906119460963854
"Sweden",0.90796905150522,0.845608329843703,0.850881084725983
"Norway",0.846091983222196,0.83812585047767,0.9073500558578
"Denmark",0.960795569156813,0.85316038176766,0.908929308365404
"Iceland",0.818233322176303,0.766090345090773,0.73441942248008
"Cape Verde",0.700577030069305,0.787008266524312,0.529627309669867
"Guinea-Bissau",0.420949105717094,0.557772719417536,0.413662157765974
"Equatorial Guinea",0.408132828646068,0.29457819500098,0.233897846982772
"Gambia",0.688754719742152,0.662289995616105,0.47026642455242
"Mali",0.527304206289327,0.615268404378337,0.467454823419949
"Senegal",0.732906715257359,0.685395917556981,0.570066015512246
"Benin",0.680231212162034,0.663714720814712,0.515746925183088
"Mauritania",0.42062657852958,0.53599120345393,0.261563390461656
"Niger",0.660386905628995,0.578166693500123,0.501432412922199
"Cote d'Ivoire",0.49607432426698,0.552867451261192,0.401031906515898
"Guinea",0.402133325491879,0.518693227829724,0.287867223637416
"Burkina Faso",0.495009672174336,0.58093492954387,0.453886879241559
"Liberia",0.615528847935671,0.66557997721355,0.472786586302669
"Sierra Leone",0.662520671826495,0.640038961622945,0.447021416799598
"Ghana",0.761010735090363,0.684014407500436,0.556958318624291
"Togo",0.435737032981927,0.514989320439274,0.404089185480875
"Cameroon",0.427471961657849,0.434036623188611,0.387930507879026
"Nigeria",0.729323006268574,0.537254794376023,0.327941989322521
"Gabon",0.61158537963138,0.597041734275265,0.424563979174593
"Central African Republic",0.399488467432004,0.478432949230416,0.233144577750444
"Chad",0.418330025162018,0.391784996753197,0.228713122880941
"Republic of Congo",0.337494252761928,0.345509989060672,0.274058942831297
"Democratic Republic of the Congo",0.380719193531061,0.431224808104072,0.297215832669698
"Uganda",0.586998115818109,0.416250891915633,0.446224555746503
"Kenya",0.46450878749775,0.545143377340593,0.426333402719262
"Tanzania",0.617058510679993,0.50615285353144,0.526521183147692
"Burundi",0.401208115115138,0.235990001175175,0.386043842402388
"Rwanda",0.654496321437831,0.420848561278117,0.433792120606512
"Somalia",0.28405879887801,0.346042269319854,0.195845821804841
"Ethiopia",0.651297083892671,0.4699492944825,0.322162306680746
"Eritrea",0.27581246866967,0.115151779344483,0.269381079222638
"Angola",0.519738559252349,0.496438091415793,0.343838433188654
"Mozambique",0.556373177116436,0.52458443344245,0.423144319814253
"Zambia",0.503146231559351,0.539104091029486,0.400059194944829
"Zimbabwe",0.43976563312385,0.360413712122921,0.356096203859048
"Malawi",0.679473626662229,0.62073662128045,0.394158177003751
